SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z,Real_UAV_VZ,Real_Boat_VZ
1.77555e+09,1.54709,15.0529,2.95628,1.55989,15.5989,-0.974761,-0.311431,-1.07543e-05
1.77555e+09,1.54794,15.0631,2.95219,1.56136,15.6136,-0.974762,-0.318275,-1.07543e-05
1.77555e+09,1.54794,15.0631,2.95219,1.56271,15.6271,-0.974762,-0.318275,-1.07543e-05
1.77555e+09,1.54977,15.0849,2.94307,1.56413,15.6413,-0.974762,-0.333085,-1.07543e-05
1.77555e+09,1.55073,15.0966,2.93801,1.56558,15.6558,-0.974762,-0.341041,-1.07543e-05
1.77555e+09,1.55156,15.1066,2.93353,1.56699,15.6699,-0.99193,-0.347946,-7.01315e-06
1.77555e+09,1.55233,15.1158,2.92932,1.56828,15.6828,-0.99193,-0.354318,-7.01315e-06
1.77555e+09,1.55334,15.128,2.92358,1.56968,15.6968,-0.99193,-0.362827,-7.01315e-06
1.77555e+09,1.55416,15.1379,2.91882,1.57107,15.7107,-0.99193,-0.369734,-7.01315e-06
1.77555e+09,1.55497,15.1477,2.91397,1.5725,15.725,-0.99193,-0.376604,-7.01315e-06
1.77555e+09,1.55572,15.1568,2.90941,1.57383,15.7383,-0.99193,-0.382945,-7.01315e-06
1.77555e+09,1.55665,15.1681,2.90361,1.57525,15.7525,-0.99193,-0.390874,-7.01315e-06
1.77555e+09,1.55763,15.18,2.89729,1.57669,15.7669,-0.999232,-0.399344,-3.18332e-06
1.77555e+09,1.55836,15.1889,2.89246,1.57801,15.7801,-0.999232,-0.405707,-3.18332e-06
1.77555e+09,1.55836,15.1889,2.89246,1.57941,15.7941,-0.999232,-0.405707,-3.18332e-06
1.77555e+09,1.56,15.2089,2.88131,1.58084,15.8084,-0.999232,-0.419973,-3.18332e-06
1.77555e+09,1.5609,15.2199,2.87495,1.58215,15.8215,-0.999232,-0.427878,-3.18332e-06
1.77555e+09,1.5618,15.2309,2.86848,1.58375,15.8375,-0.999232,-0.435757,-3.18332e-06
1.77555e+09,1.56269,15.2418,2.86188,1.58511,15.8511,-0.999232,-0.443627,-3.18332e-06
1.77555e+09,1.56316,15.2476,2.85831,1.58637,15.8637,-0.996565,-0.447829,6.78165e-07
1.77555e+09,1.56316,15.2476,2.85831,1.58778,15.8778,-0.996565,-0.447829,6.78165e-07
1.77555e+09,1.56498,15.2699,2.84418,1.58905,15.8905,-0.996565,-0.464075,6.78165e-07
1.77555e+09,1.56573,15.2792,2.8381,1.59033,15.9033,-0.996565,-0.470853,6.78165e-07
1.77555e+09,1.56643,15.2877,2.83241,1.59164,15.9164,-0.996565,-0.477108,6.78165e-07
1.77555e+09,1.56718,15.297,2.82617,1.59306,15.9306,-0.996565,-0.483885,6.78165e-07
1.77555e+09,1.56781,15.3047,2.82081,1.59449,15.9449,-0.996565,-0.489623,6.78165e-07
1.77555e+09,1.56781,15.3047,2.82081,1.59602,15.9602,-0.996565,-0.489623,6.78165e-07
1.77555e+09,1.56957,15.3265,2.80538,1.59668,15.9668,-0.983598,-0.505799,4.36986e-06
1.77555e+09,1.57041,15.3369,2.79774,1.59801,15.9801,-0.983598,-0.513624,4.36986e-06
1.77555e+09,1.57125,15.3473,2.78998,1.59934,15.9934,-0.983598,-0.521455,4.36986e-06
1.77555e+09,1.57197,15.3563,2.78315,1.60052,16.0052,-0.983598,-0.528242,4.36986e-06
1.77555e+09,1.57264,15.3646,2.77678,1.6017,16.017,-0.983598,-0.534509,4.36986e-06
1.77555e+09,1.57346,15.3748,2.7687,1.6034,16.034,-0.983598,-0.542344,4.36986e-06
1.77555e+09,1.57346,15.3748,2.7687,1.60603,16.0603,-0.961495,-0.542344,8.76056e-06
1.77555e+09,1.57513,15.3959,2.75164,1.60751,16.0751,-0.961494,-0.558518,8.76056e-06
1.77555e+09,1.57593,15.406,2.7432,1.60896,16.0896,-0.961494,-0.566322,8.76056e-06
1.77555e+09,1.57657,15.4141,2.73637,1.61028,16.1028,-0.961494,-0.572542,8.76056e-06
1.77555e+09,1.5772,15.4221,2.72946,1.61159,16.1159,-0.961494,-0.578761,8.76056e-06
1.77555e+09,1.57751,15.4261,2.72598,1.61298,16.1298,-0.961494,-0.581873,8.76056e-06
1.77555e+09,1.57865,15.4408,2.71305,1.6144,16.144,-0.961494,-0.593266,8.76056e-06
1.77555e+09,1.57931,15.4493,2.70529,1.61578,16.1578,-0.961494,-0.599911,8.76056e-06
1.77555e+09,1.58017,15.4605,2.69502,1.61709,16.1709,-0.929317,-0.608524,1.20884e-05
1.77555e+09,1.58082,15.4691,2.68707,1.61846,16.1846,-0.929316,-0.615072,1.20884e-05
1.77555e+09,1.58106,15.4723,2.68399,1.61977,16.1977,-0.929316,-0.617584,1.20884e-05
1.77555e+09,1.58233,15.4893,2.66776,1.62172,16.2172,-0.929316,-0.63059,1.20884e-05
1.77555e+09,1.58291,15.497,2.66016,1.62297,16.2297,-0.929316,-0.636554,1.20884e-05
1.77555e+09,1.58352,15.5054,2.65184,1.62429,16.2429,-0.929316,-0.642994,1.20884e-05
1.77555e+09,1.58409,15.5131,2.64409,1.62559,16.2559,-0.929315,-0.648919,1.20884e-05
1.77555e+09,1.58455,15.5195,2.63758,1.62653,16.2653,-0.887375,-0.653843,1.57221e-05
1.77555e+09,1.58528,15.5297,2.62705,1.62797,16.2797,-0.887374,-0.66169,1.57221e-05
1.77555e+09,1.58587,15.538,2.61841,1.62928,16.2928,-0.887374,-0.667987,1.57221e-05
1.77555e+09,1.5864,15.5456,2.61036,1.6306,16.306,-0.887374,-0.673773,1.57221e-05
1.77555e+09,1.58706,15.555,2.6002,1.63199,16.3199,-0.887374,-0.680968,1.57221e-05
1.77555e+09,1.5877,15.5645,2.58993,1.6333,16.333,-0.887374,-0.688055,1.57221e-05
1.77555e+09,1.58834,15.5738,2.57956,1.63478,16.3478,-0.887373,-0.695053,1.57221e-05
1.77555e+09,1.58846,15.5757,2.57747,1.63619,16.3619,-0.837043,-0.696443,1.92013e-05
1.77555e+09,1.58933,15.5888,2.56274,1.63749,16.3749,-0.837042,-0.706136,1.92013e-05
1.77555e+09,1.58985,15.5968,2.55352,1.63873,16.3873,-0.837042,-0.712117,1.92013e-05
1.77555e+09,1.59033,15.6042,2.54495,1.64008,16.4008,-0.837042,-0.717597,1.92013e-05
1.77555e+09,1.59093,15.6135,2.53413,1.64155,16.4155,-0.837042,-0.724347,1.92013e-05
1.77555e+09,1.59151,15.6227,2.52322,1.64289,16.4289,-0.837041,-0.731,1.92013e-05
1.77555e+09,1.5917,15.6257,2.51955,1.64421,16.4421,-0.837041,-0.733198,1.92013e-05
1.77555e+09,1.59251,15.6385,2.50406,1.64579,16.4579,-0.779114,-0.742366,2.24196e-05
1.77555e+09,1.59307,15.6476,2.49288,1.6472,16.472,-0.779114,-0.74886,2.24196e-05
1.77555e+09,1.59356,15.6555,2.48311,1.64855,16.4855,-0.779114,-0.754445,2.24196e-05
1.77555e+09,1.59401,15.6627,2.47402,1.64982,16.4982,-0.779113,-0.759564,2.24196e-05
1.77555e+09,1.59456,15.6718,2.46258,1.65146,16.5146,-0.779113,-0.765911,2.24196e-05
1.77555e+09,1.59474,15.6748,2.45875,1.65283,16.5283,-0.779113,-0.768014,2.24196e-05
1.77555e+09,1.59566,15.6898,2.43941,1.65436,16.5436,-0.779112,-0.778345,2.24196e-05
1.77555e+09,1.5962,15.6987,2.42769,1.65583,16.5583,-0.779112,-0.784408,2.24196e-05
1.77555e+09,1.59667,15.7065,2.41746,1.6569,16.569,-0.711987,-0.789621,2.54818e-05
1.77555e+09,1.59722,15.7154,2.40557,1.65834,16.5834,-0.711986,-0.795607,2.54818e-05
1.77555e+09,1.59765,15.7225,2.396,1.65978,16.5978,-0.711986,-0.800374,2.54818e-05
1.77555e+09,1.59812,15.7302,2.38556,1.66129,16.6129,-0.711985,-0.805515,2.54818e-05
1.77555e+09,1.59873,15.7402,2.37181,1.66276,16.6276,-0.711985,-0.812128,2.54818e-05
1.77555e+09,1.59928,15.749,2.35958,1.66414,16.6414,-0.711985,-0.817836,2.54818e-05
1.77555e+09,1.59975,15.7567,2.34892,1.66544,16.6544,-0.711984,-0.822727,2.54818e-05
1.77555e+09,1.60018,15.7637,2.33902,1.66683,16.6683,-0.639283,-0.827171,2.80866e-05
1.77555e+09,1.60073,15.7725,2.32657,1.66809,16.6809,-0.639283,-0.83263,2.80866e-05
1.77555e+09,1.60073,15.7725,2.32657,1.66942,16.6942,-0.639283,-0.83263,2.80866e-05
1.77555e+09,1.60176,15.7888,2.30312,1.67117,16.7117,-0.639282,-0.842573,2.80866e-05
1.77555e+09,1.60235,15.798,2.28959,1.67272,16.7272,-0.639282,-0.848139,2.80866e-05
1.77555e+09,1.6028,15.805,2.27939,1.67398,16.7398,-0.639281,-0.85229,2.80866e-05
1.77555e+09,1.60336,15.8136,2.26657,1.67535,16.7535,-0.639281,-0.857423,2.80866e-05
1.77555e+09,1.60374,15.8194,2.25798,1.6767,16.767,-0.55935,-0.86079,3.07419e-05
1.77555e+09,1.60442,15.8298,2.24243,1.67813,16.7813,-0.559349,-0.866706,3.07419e-05
1.77555e+09,1.60488,15.8366,2.23201,1.67951,16.7951,-0.559349,-0.870564,3.07419e-05
1.77555e+09,1.60546,15.8452,2.21891,1.68095,16.8095,-0.559348,-0.875299,3.07419e-05
1.77555e+09,1.60597,15.8527,2.20751,1.68226,16.8226,-0.559348,-0.87931,3.07419e-05
1.77555e+09,1.60649,15.8601,2.19605,1.68356,16.8356,-0.559347,-0.883257,3.07419e-05
1.77555e+09,1.60696,15.8669,2.18543,1.68487,16.8487,-0.559347,-0.88684,3.07419e-05
1.77555e+09,1.60757,15.8754,2.17209,1.68591,16.8591,-0.473604,-0.891258,3.19512e-05
1.77555e+09,1.60826,15.8851,2.1569,1.6873,16.873,-0.473604,-0.896115,3.19512e-05
1.77555e+09,1.60879,15.8925,2.14523,1.68856,16.8856,-0.473603,-0.899698,3.19512e-05
1.77555e+09,1.60929,15.8992,2.13441,1.6898,16.898,-0.473603,-0.902913,3.19512e-05
1.77555e+09,1.60984,15.9066,2.12265,1.69106,16.9106,-0.473603,-0.906297,3.19512e-05
1.77555e+09,1.61026,15.9123,2.11358,1.69224,16.9224,-0.473602,-0.908833,3.19512e-05
1.77555e+09,1.61035,15.9134,2.11176,1.69351,16.9351,-0.473602,-0.909334,3.19512e-05
1.77555e+09,1.61129,15.9258,2.09169,1.69481,16.9481,-0.473601,-0.914704,3.19512e-05
1.77555e+09,1.61195,15.9343,2.07795,1.69672,16.9672,-0.38382,-0.918234,3.55904e-05
1.77555e+09,1.61249,15.9411,2.06691,1.6981,16.981,-0.38382,-0.920988,3.55904e-05
1.77555e+09,1.61307,15.9485,2.05492,1.69938,16.9938,-0.383819,-0.92389,3.55904e-05
1.77555e+09,1.61362,15.9554,2.04382,1.70067,17.0067,-0.383819,-0.926492,3.55904e-05
1.77555e+09,1.61428,15.9635,2.03082,1.70211,17.0211,-0.383818,-0.929445,3.55904e-05
1.77555e+09,1.61489,15.971,2.01872,1.7034,17.034,-0.383818,-0.932094,3.55904e-05
1.77555e+09,1.61562,15.9798,2.00472,1.70492,17.0492,-0.383817,-0.935031,3.55904e-05
1.77555e+09,1.61621,15.9869,1.99349,1.70617,17.0617,-0.289491,-0.937301,3.63672e-05
1.77555e+09,1.61712,15.9976,1.97659,1.7077,17.077,-0.289491,-0.9406,3.63672e-05
1.77555e+09,1.61774,16.0049,1.96529,1.70907,17.0907,-0.28949,-0.942717,3.63672e-05
1.77555e+09,1.61842,16.0129,1.95302,1.71037,17.1037,-0.28949,-0.944882,3.63672e-05
1.77555e+09,1.61923,16.0222,1.93882,1.7118,17.118,-0.289489,-0.947247,3.63672e-05
1.77555e+09,1.61989,16.0298,1.92745,1.71314,17.1314,-0.289489,-0.949045,3.63672e-05
1.77555e+09,1.62073,16.0394,1.91319,1.71444,17.1444,-0.289488,-0.951194,3.63672e-05
1.77555e+09,1.62147,16.0479,1.90082,1.71554,17.1554,-0.191329,-0.952981,3.74203e-05
